school_year,system_id,school_name,measure_1a_points,measure_1c_points,measure_1d_points,measure_1e_points,measure_2a_points,measure_2b_points,financial_section_toal,designation
2020-2021,7830634,Georgia Fugees Academy Charter School,15,15,15,10,15,15,100,Meets
2020-2021,7820412,Georgia Connections Academy,15,15,15,10,15,15,100,Meets
2021-2022,7830611,Cirrus Charter Academy,15,15,10,10,15,15,95,Meets
2020-2021,7830616,Genesis Innovation Academy for Girls,15,15,0,10,15,15,85,Meets
2019-2020,7830613,Brookhaven Innovation Academy,15,0,0,10,10,0,50,Does Not Meet
2021-2022,7820412,Georgia Connections Academy,15,15,15,10,15,15,100,Meets
2022-2023,7830616,Genesis Innovation Academy for Girls,15,0,15,10,15,15,85,Meets
2022-2023,7830624,Spring Creek Charter Academy,15,10,10,10,15,15,90,Meets
2022-2023,7830634,Georgia Fugees Academy Charter School,0,0,15,10,10,0,45,Does Not Meet
2021-2022,7820617,Dubois Integrity Academy,15,15,0,10,15,15,85,Meets
