school_year,system_id,school_name,grade_band,measure,measurename,score_type,scsc_school_score,school_comparison_score,district_comparison_score,designation
2022-2023,7830637,DeKalb Brilliance Academy,E,1a,Content Mastery,percentage,"",38.05112359550561,55.33483146067416,Y
2021-2022,7820412,Georgia Connections Academy,Whole School Score,2a,Content Mastery,percentage,59.299434114793854,57.216274351034045,"",Y
2021-2022,7820212,Cherokee Charter Academy,E,1a,Content Mastery,percentage,58.2,72.7,76.1,N
2022-2023,7830617,Resurgence Hall Charter School,Whole School Score,2c,Grade Band Score,percentage,97.52000000000002,69.2949184149184,85.06297202797204,Y
2020-2021,7820614,International Charter School of Atlanta,M,1a-na,Content Mastery Non-Adjusted,percentage,89.79166681666666,67.97286768662396,"",Y
2022-2023,7830210,Pataula Charter Academy,Whole School Score,2c,Grade Band Score,percentage,76.74491467576792,68.50530716723549,68.66557167235493,Y
2020-2021,7820616,Georgia School for Innovation and the Classics,H,1a-na,Content Mastery Non-Adjusted,percentage,44.712053925,20.358528280381943,"",Y
2021-2022,7830617,Resurgence Hall Charter School,E,1b,Progress,percentage,77.6,84.9,"",N
2020-2021,7830210,Pataula Charter Academy,E,1a-na,Content Mastery Non-Adjusted,percentage,39.354961287853016,16.26491353142215,"",Y
2021-2022,7830626,Furlow Charter School,M,1b,Progress,percentage,90.5,93.5,"",N
2020-2021,7830624,Spring Creek Charter Academy,E,1a-a,Content Mastery Adjusted,percentage,44.06370172759259,48.769022001727905,"",N
2021-2022,7830610,Coweta Charter Academy,E,1a,Content Mastery,percentage,78.5,64.8,69.1,Y
2020-2021,7830611,Cirrus Charter Academy,E,1a-na,Content Mastery Non-Adjusted,percentage,7.4938858588672765,14.265403293841139,"",N
2021-2022,7830621,SLAM Academy of Atlanta,E,1b,Progress,percentage,53.9,77.4,"",N
2022-2023,7830643,Amana Academy West Atlanta,Whole School Score,2b,Progress,percentage,"",85.27085714285717,86.78571428571428,Y
2021-2022,7830624,Spring Creek Charter Academy,E,1a,Content Mastery,percentage,58,51.9,51.9,Y
2021-2022,7830623,Academy For Classical Education,M,1b,Progress,percentage,95.4,79.7,"",Y
2022-2023,7820614,International Charter School of Atlanta,E,1c,Grade Band Score,percentage,86.83,84.40490427098673,83.86100883652428,Y
2022-2023,7830624,Spring Creek Charter Academy,H,1d,Value-Add,decimal,-0.40818333625793457,0.1886053260677727,0.16358365381893236,N
2021-2022,7820120,Georgia Cyber Academy,E,1b,Progress,percentage,61.4,77.6,"",N
2022-2023,7830636,Northwest Classical Academy,Whole School Score,2d,Value-Add,decimal,-0.046213697642087936,-0.010448223401908763,0.01169107004898251,N
2021-2022,7830616,Genesis Innovation Academy for Girls,H,1a,Content Mastery,percentage,40.6,36.3,48.0,Y
2021-2022,7820612,Ivy Preparatory Academy,E,1b,Progress,percentage,76.3,83.8,"",N
2020-2021,7830615,Genesis Innovation Academy for Boys,H,1a-na,Content Mastery Non-Adjusted,percentage,TFS,25.552472148437502,"",""
2022-2023,7830612,Southwest Georgia S.T.E.M. Charter Academy,E,1d,Value-Add,decimal,-0.04497494548559189,0.11190475627267915,0.11073885258997507,N
2021-2022,7830632,Atlanta Unbound Academy,M,1d,Value-Add,decimal,0.0033,0.0952,"",S
2022-2023,7830621,SLAM Academy of Atlanta,E,1b,Progress,percentage,64.2,85.07517241379311,90.08068965517242,N
2022-2023,7830621,SLAM Academy of Atlanta,M,1b,Progress,percentage,100,80.56428571428569,81.5547619047619,Y
2022-2023,7830636,Northwest Classical Academy,Whole School Score,2a,Content Mastery,percentage,72.66322008862625,72.4658788774003,71.27326440177254,Y
2022-2023,7830625,Yi Hwang Academy of Language Excellence,E,1b,Progress,percentage,100,90.24584615384614,88.6649230769231,Y
2021-2022,7830626,Furlow Charter School,M,1a,Content Mastery,percentage,46.4,31.8,32.0,Y
2022-2023,7820617,Dubois Integrity Academy,E,1c,Grade Band Score,percentage,70.18,68.0,72.79252302025783,Y
2022-2023,7820212,Cherokee Charter Academy,E,1a,Content Mastery,percentage,62.4,71.80674846625769,75.87484662576688,N
2021-2022,7830103,Statesboro STEAM Academy,H,1d,Value-Add,decimal,-0.248,0.0372,"",N
2021-2022,7830410,Atlanta Heights Charter School,Whole School Score,2a,Content Mastery,percentage,32.679305354558615,28.331162824753633,"",Y
2022-2023,7820614,International Charter School of Atlanta,E,1b,Progress,percentage,81.4,89.34447717231221,89.66848306332841,N
2021-2022,7830636,Northwest Classical Academy,Whole School Score,2a,Content Mastery,percentage,72.91780821917808,72.73863830676575,"",Y
2020-2021,7830615,Genesis Innovation Academy for Boys,E,1a-na,Content Mastery Non-Adjusted,percentage,TFS,10.167167664140537,"",""
2021-2022,7820412,Georgia Connections Academy,M,1a,Content Mastery,percentage,56.7,54.1,57.8,Y
2021-2022,7830611,Cirrus Charter Academy,Whole School Score,2a,Content Mastery,percentage,25.090804597701144,29.249287265094374,"",N
